excitation,eps_hole,eps_particle,k_hole,k_particle
4.30733678637911455e-01,0.00000000000000000e+00,4.30733678637911455e-01,0.00000000000000000e+00,2.50000000000000000e-01
4.30733678637911455e-01,0.00000000000000000e+00,4.30733678637911455e-01,0.00000000000000000e+00,2.50000000000000000e-01
5.87956852750624703e-01,0.00000000000000000e+00,5.87956852750624703e-01,0.00000000000000000e+00,3.53553390593273786e-01
5.87956852750624703e-01,0.00000000000000000e+00,5.87956852750624703e-01,0.00000000000000000e+00,3.53553390593273786e-01
7.04099564609690032e-01,0.00000000000000000e+00,7.04099564609690032e-01,0.00000000000000000e+00,4.33012701892219298e-01
7.04099564609690032e-01,0.00000000000000000e+00,7.04099564609690032e-01,0.00000000000000000e+00,4.33012701892219298e-01
7.99645766833867344e-01,0.00000000000000000e+00,7.99645766833867344e-01,0.00000000000000000e+00,5.00000000000000000e-01
7.99645766833867344e-01,0.00000000000000000e+00,7.99645766833867344e-01,0.00000000000000000e+00,5.00000000000000000e-01
8.82319540531626312e-01,0.00000000000000000e+00,8.82319540531626312e-01,0.00000000000000000e+00,5.59016994374947451e-01
8.82319540531626312e-01,0.00000000000000000e+00,8.82319540531626312e-01,0.00000000000000000e+00,5.59016994374947451e-01
9.56006929838064012e-01,0.00000000000000000e+00,9.56006929838064012e-01,0.00000000000000000e+00,6.12372435695794470e-01
9.56006929838064012e-01,0.00000000000000000e+00,9.56006929838064012e-01,0.00000000000000000e+00,6.12372435695794470e-01
